AR_NUMBER,AR_PRIORITY,AR_SEVERITY,PRIORITY_SEVERITY,CONCAT_TEXT_FOR_WKS
390317,CAQ,D,CAQ:D,malfuntion ids cas receive malfuntion alarm ids due water area compensatory measure place contacted sm plant electrician support generate cr wr
389422,CAQ,D,CAQ:D,rev odcm asset suite not correct rev odcm asset suite not correct copy amendment licensing tree correct provide correct pdf rim notified supervisor write cr recommend trend
393634,NCAQ,4,NCAQ:4,badge lose work transformer yard work transformer yard bpa electrician lose badge wear fall protection work lift vehicle not aware lanyard break remove harness notify transformer yard coordinator notify security lieutenant escort worker site leave site individualaos coworker notify find badge security officer retrieve badge coworker lieutenant return individual
387501,NCAQ,4,NCAQ:4,large amount water fw htr b steam leak large amount water run side feed water heater b visible camera tg unable ge exact source camera available talk equipment operator familiar leak believe amount water increase vicinity rfw fcva leak use camera look like may second leak north rfw fcva b heater crs supervision inform
395677,CAQ,C,CAQ:C,ppm low condensate temperature startup ppm require condensate temperature gtf temperature not raise currently f ppm note require cr document condition
393240,NCAQ,3,NCAQ:3,mt cra aux hoist oil level high cause leakage evidence oil leak mt cra observe west floor may th whiting crane tech support r inspect trolley area find aux hoist gear box fill oil leak shaft seal part previous mt cra main hoist upgrade seal main aux hoist gearbox replace case fill level seal prevent oil leakage generate cr document condition find no negative impact operation crane continue leakage oil level shaft seal whiting tech clean oil find trolley
392995,NCAQ,3,NCAQ:3,pre filters could not locate wh asset suite show available catid demand place quantity warehouse storekeeper not able locate storage area show asset suite generate cr reference wo find filter adjacent location
384811,NCAQ,4,NCAQ:4,pwc p fail start flocculator backwash pwc p flocculator surface wash pump fail start backwash pump normally start stop via drum timer indication backwash sufficient flocculator start normally write cr informed crs
394692,NCAQ,4,NCAQ:4,tube plug cond hxs analyze datum eddy current testing ect perform cond hxa b wo respectively tube identify plug tube b due od tube wear indication result total tube tube plug tube tube plug b heat exchanger still within plug limit tube could plug calculate true north study see edms rough calculation also show heat exchanger responsible mwe loss due current plugging action result tn study maintain hx integrity performance track ar cr trend purpose no action require per discussion nassaneh tube discuss cr already plug r no field work need result cr
390391,NCAQ,3,NCAQ:3,ppm need correction hp procedure state incorrect limitation store radioactive material satellite rca ppm control radioactive material step b say dpmcm smearable alpha contamination greater equal would coincide another procedure hpi radioactive material storage within build guilde section notify hp craft supervisor write cr
391433,NCAQ,4,NCAQ:4,cw tb high water level cw tb level inch require cr crs notifiedtop cw cool tower b
389165,NCAQ,3,NCAQ:3,cvi dcr information outdate need revise cvi dcr include outdated revision rev lefm uncertainty analysis date not include late revision rev date vendor design criteria document update correct revision er aubounding uncertainty analysis thermal power determination columbia nuclear generating station use lefm check systemau part basis stationaos mur uprate documentation issue no impact lefm operation
389893,NCAQ,3,NCAQ:3,mt cra radio controller e stop function not expect functional testing turbine bridge crane note actuate emergency stop button radio controller not de power crane expect e stop de power radio transmitter expected result actuate e stop removal power transmitter crane oem tech work engineering staff develop troubleshooting plan condition work request generate cross referenced no action require
384720,NCAQ,3,NCAQ:3,fsa pir no long term trend method iod quality pir focus self assessment immediate operability quality review oi provide guidance operability determination quality review board process section provide guidance trending monitoring iod quality assist identification decline trend not guidance currently implement develop trending monitoring process iod quality meet guidance provide oi
388599,CAQ,D,CAQ:D,sw va difficult operate perform wo sw va difficult operate mechanic able operate valve lubricated stem thread still find difficult operate valve repacke possibly replace stem bush mechanic notify supervisorsw b pond
387550,NCAQ,4,NCAQ:4,woa heating coil n steam leak large steam leak find woa heating coil n local tag alreade hane l woa hc n appreare fin already look coil wr leave local tag align coil inservice sign local tagout isolate per tagout mcr notify coil n
397541,CAQ,C,CAQ:C,ec miss update drawing ec reroute feedwater heater drain air removal piping change piping configuration upstream ar v lp condensor draw fail update draw drawing show portion piping need revise agree draw assign ar desdftm informed supervision
387638,NCAQ,3,NCAQ:3,state fm facility building evacuation drill record keeping state fire marshal review annual building evacuation drill find require drill information not record drill perform fire code require record keep nine different parameter item lack include number occupant evacuate time accomplish evacuation weather condition evacuation two building columbia require annual evacuation drill two building deschutes b kootenai b assign ar tefp include necessary information exist ar ar
389004,CAQ,D,CAQ:D,osp mt w perform solenoid gt msec performed quad voter solenoid test osp mt w wo solenoid great millisecond millisecond perform test time per procedure fowarde result engineering
385922,CAQ,D,CAQ:D,sjae condenser rad high alarm receive pa drop sjae condenser rad high alarm og ris gas pre treat activity indicate change approximately mr hr mr hr return normal reading next minute shift chemistry technician report moisture sense line impact sample flow problem correct clear water notified shift management shift chemistry technician no eplan entry indicator
399156,CAQ,D,CAQ:D,screw find bottom sw cntr pb fme inspection performance wo electrician open door sw cntr pb measure voltage current sw pb heater circuit contactor part fme inspection prior close panel door craft notice screw insulate washer bush lay bottom panel craft remove screw take picture identify potential location screw likely belong notified supervision write cr wrsw cntr pb swph b motor heater require long term motor reliability remove moisture not sr power non sr power motor ccer space heater not impact motor capability perform safety function engineetring no operabilty concern contactor repair early opportunity
401124,NCAQ,3,NCAQ:3,license renewal inspction license renewal project plan internal external inspection wra pcva mechanic identify work start likely would not able complete becuase no spare part include part planning mechanic stppe job start license renewal project replan work later implementation
402590,NCAQ,4,NCAQ:4,sec bre door sec bre door lock mechanism not funtione design generate cr wr maintenance support security bre sw radwaste rollup door
385889,NCAQ,3,NCAQ:3,miss key psro key audit key audit psro key find two tag key informed ops coordinator replace key reference wo
386085,NCAQ,3,NCAQ:3,ashe kv station service not return sevice ashe kv redundant station service breaker e cbs rack put ashe station single point vulnerability loss ashe kv service kv line connect ashe cgs battery power loss breaker control battery deplete currently breaker remain open work complete repeat issue identify cr see edms previous email ashe operation contacted wwm drive restoration review issue due breaker issue take longer restore originally plan issue trend schedule follow future no action necessary
399345,NCAQ,4,NCAQ:4,packing leak bs va likely source packing leak discover flm walkdown bs va need scaffold access could positively id use binocular nearby scaffold tg heater bay
401315,NCAQ,4,NCAQ:4,fp pi p gauge not read system pressure conduct pmt fp v p noticed gauge fp pi p read low need change gauge notify op maintenance management write crdg mezzanine preaction non essential fire sprinkler suppression system fpsi address clapper not reset wr
399977,NCAQ,3,NCAQ:3,spip sec need revise update security procedure spip sec need minor revision update security supervision notify cr initiate security supervision notify contact detail
392621,NCAQ,4,NCAQ:4,receive deh warning alarm steam chest right hand temp dev high alarm tg te scsrh indicate f indicate fail input status no turbine drain main steam extraction line drain valve reposition feedwater heater operation remain normal
385425,NCAQ,4,NCAQ:4,wch cra support rdv instal wrong location wch cra relief valve piping support rdv instal ao south specify location draw due mathematical error lay phase worker forget subtract dimension overall piping length account section pipe past column line make dimension ao long transfer floor move support south result error work group require add extra au weld ao pipe project mgmt contact well project engineer new location evaluate find acceptable within tolerance stress calculation fcr generate wch cra
390257,CAQ,C,CAQ:C,no pm initiate new hcv rd hcv rd hcv rd instal ec no ar sms generate determine planned maintenance need perform new rupture disc also unclear add ist program rupture disc need replace least every five year initiated cr administrative issue ar sms generate begin process develop pm associate rupture discs hcv rd hcv rd ar assign maintenance procedure group generate pm
401992,NCAQ,3,NCAQ:3,tsp dg loca b procedure correction tsp dg loca b standby diesel generator dg loca test attachment comkputer point x incorrectly title sm ckt bkr position say position no breaker verified point use tsp dg lop b correctly title
385847,NCAQ,3,NCAQ:3,qa mte data leave blank instead na odcm wot qa quality assurance records qars three work order task wot contain blank measuring test equipment mte number calibration due date scaler timer contrary swp pro auprocedure work instruction use adherenceau require entry aunaau not applicable scaler timer not need subsequent conditional step associate volume surveillance procedure within wot base acceptable auas foundau datum record several early step procedure non compliance no know consequence requirement swp pro require use aunaau datum entry not need continuous use procedure factual basis qar three wot contain complete volume procedure blank section aucalibrated equipmentau table instead aunaau aumte numberau aucal due dateau scaler timer qar hp wot au sw ris cftau qar hp wot au ssw system effluent monitor ch b cc rcau qar hp wot au sw ris ccau problem consider deficiency identify chemistry environmental monitoring program audit au ch quality recommend cr route maintenance discuss issue craft maint supervisor iii component group manager chemistry rad safety manager quality services supervisor quality manager
401387,NCAQ,3,NCAQ:3,incorrect revision ppm perform ewp ppm sfp level indication ch perform outdated revision ewp performed major rev instead major rev new rev require ep notification fpc lita remove service catch crs authorize ppm channel cft later shift crs notice ppm requirement notify ep fpc litb remove service crs look complete ppm discover revise include requirement ppm authorize ewp day ewp normally prevent authorize work incorrect revision require work package validate first may issue ewp software make situation error likely inform shift manager supervisor authorize surveillance not work today inform via text message verified no change surveillance new revision crs determine surveillance satisfactory emailed ep inform fpc lita remove service restored ewp data glance
387377,NCAQ,3,NCAQ:3,confusion ispm temp bottle storage need clarification ispm step start describe use gas bottle need secure structural steel end say store temporarily cart design storage transport addition since bottle question reactor building also subject ppm attach photo witness time today twice reactor building twice rw building not sure storage transport cart use one adresse ispm neither cart mark per ppm please see attach word document picture clarification please come resolution get word right way know discuss supervision also surprised wording cart recommend writing cr
390913,CAQ,D,CAQ:D,receive rpis dmm inop rdcs inop alarm receive rpis dmm inop hp alarm accompany rod drive control sys inop hp alarm reset rdcs per p drop arp rpis dmm inop hp rod drive control sys inop h p alarm clear rwm reinitialize per sop rwm start informed crs sm write cr wr
388073,NCAQ,4,NCAQ:4,sound like steam leak gas preheater room earlier steam leak offgass preheater room steam leak identify room quite today hear believe steam leak room please evaluate entry desire investigate include necessary alara planning discuss sm srote wr crt
399641,NCAQ,3,NCAQ:3,plant eyewash station deficiency performance monthly eyewash station pm observe currently different type eyewash station different control pressure rating capacity miss part canaot locate replacement manufacturer recommend change remain eyewash unit cid guardian fsg optional dolly unit transport currently unit site acceptable replacement initiate condition report notify industrial safety supervisor main control room recommend assignment industrial safety evaluation
395210,NCAQ,4,NCAQ:4,hd ltb need replacement performance hd ltb loop calibration transmitter b find tolerance could not adjust per imds recommend replacement notified supervisor intiate cr wr repair broken transmitter heater bay near inside hca hra
